Car unique id,first online date,car sold on date,manufacturer,model,fuel_type,buy price,last available online price,External market reference price
1283080347,2024-12-03,,MINI,MINI,Benzin,9046,14248,15052
1282758415,2024-11-28,2024-12-13,Audi,A4,Diesel,14154,20230,19265
1279154873,2024-10-01,2024-12-16,Audi,Q3,Diesel,19204,23123,22741
1277312575,2024-10-25,2024-12-06,Fiat,500,Benzin,7292,10820,10145
1277919693,2025-01-08,,Volkswagen,Caddy,Diesel,21608,30840,31231
1277520992,2024-09-12,2024-09-16,Opel,Crossland X,Benzin,9438,11480,12266
1280417718,2024-10-02,2024-10-04,Opel,Crossland X,Benzin,8081,13598,14554
1278469361,2024-11-15,,BMW,1er,Benzin,15487,21329,23143
1283782075,2024-12-06,,Skoda,Fabia,Benzin,3917,9452,8349
1279310750,2024-09-23,2024-12-03,Mercedes-Benz,A-Klasse,Diesel,22145,23195,23203
1280315351,2024-10-24,2024-12-03,BMW,4er,Benzin,17013,21478,22209
1280149501,2024-10-01,,MINI,MINI,Benzin,15584,19976,18882
1278965058,2024-09-14,2024-11-27,Opel,Astra,Benzin,9090,12040,10011
1281723747,2024-12-03,2024-12-30,Opel,Karl,Benzin,6099,11005,13479
1280074628,2024-09-19,2024-09-30,Skoda,Fabia,Benzin,8627,11930,12477
1280346262,2024-11-20,,Dacia,Sandero,Benzin,8777,12337,14062
1279585595,2024-09-24,2024-11-21,Mazda,CX-5,Diesel,13046,14315,13767
1279868459,2024-12-09,,Honda,HR-V,Benzin,11798,17432,17620
1280344140,2024-09-24,2024-09-25,Citroen,Berlingo,Benzin,16834,22984,23610
1281833392,2024-10-30,2024-11-15,Seat,Arona,Benzin,7703,12523,11765
1276437825,2024-09-30,2024-12-17,Audi,Q5,Diesel,24704,26901,28323
1280585109,2024-11-04,,Renault,Kadjar,Benzin,14313,16138,17255
1281482529,2024-11-04,,Fiat,500,Benzin,8748,13857,14435
1282495737,2024-12-04,,Hyundai,i20,Benzin,5296,9302,8727
1282671380,2024-11-14,,Volkswagen,up!,Benzin,9601,12432,11529
1281876310,2024-10-30,2024-11-20,BMW,1er,Benzin,15535,18798,20604
1282626420,2024-11-18,2025-01-03,BMW,3er,Diesel,9242,17066,17786
1238175301,2024-12-13,,BMW,2er,Benzin,15348,20410,21050
1277033704,2024-09-12,2024-12-05,Peugeot,208,Benzin,9155,11844,12723
1259495145,2024-12-05,2024-12-09,Suzuki,Jimny,Benzin,20064,24982,26072
1281074520,2024-11-25,,Ford,Kuga,Diesel,16177,19645,20527
1275692883,2024-12-19,,Ford,Puma,Benzin,10643,17221,16181
1279308731,2024-09-17,,Kia,Sportage,Benzin,17658,20946,19248
1280570254,2024-11-04,,Kia,XCeed,Benzin,17721,21117,21525
